CAD CDW ID,Event Clearance Group,Event Clearance SubGroup,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Hundred Block Location,District/Sector,Event Clearance Date,Zone/Beat,Census Tract,Longitude,Latitude
15739,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246473,2010246473,460,TRAFFIC (MOVING) VIOLATION,7XX BLOCK OF ROY ST,D,07/17/2010 09:00:00 PM,D1,7200.1002,-122.341846999,47.625401388
15743,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246472,2010246472,460,TRAFFIC (MOVING) VIOLATION,56XX BLOCK OF BROOKLYN AVE NE,U,07/17/2010 09:05:00 PM,U3,4400.5003,-122.3141656,47.670345345
15753,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246384,2010246384,430,ACCIDENT INVESTIGATION,10XX BLOCK OF HOWELL ST,D,07/17/2010 09:41:00 PM,D2,7300.2019,-122.331861616,47.615829897
15771,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246601,2010246601,460,TRAFFIC (MOVING) VIOLATION,127XX BLOCK OF LAKE CITY WAY NE,L,07/17/2010 10:51:00 PM,L1,100.3007,-122.293641975,47.721986695
15793,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246108,2010246108,430,ACCIDENT INVESTIGATION,40XX BLOCK OF CHEASTY BLVD S,R,07/17/2010 10:46:00 PM,R2,10000.2000,-122.299394235,47.567056241
15806,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246512,2010246512,460,TRAFFIC (MOVING) VIOLATION,14XX BLOCK OF 10TH AVE,E,07/17/2010 09:28:00 PM,E2,7500.4020,-122.319440724,47.613512589
15808,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246522,2010246522,460,TRAFFIC (MOVING) VIOLATION,140XX BLOCK OF LAKE CITY WAY NE,L,07/17/2010 09:45:00 PM,L1,100.2001,-122.292342073,47.731028436
15812,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246540,2010246540,460,TRAFFIC (MOVING) VIOLATION,XX BLOCK OF 15TH AVE NW,J,07/17/2010 09:55:00 PM,J2,4700.2031,-122.376124755,47.664029608
15825,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246564,2010246564,460,TRAFFIC (MOVING) VIOLATION,14XX BLOCK OF 12TH AVE,E,07/17/2010 10:36:00 PM,E2,7500.4012,-122.316784619,47.613496502
15826,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246556,2010246556,460,TRAFFIC (MOVING) VIOLATION,1XX BLOCK OF N 84TH ST,B,07/17/2010 10:38:00 PM,B3,2900.1003,-122.356639319,47.689836465
15866,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246659,2010246659,460,TRAFFIC (MOVING) VIOLATION,73XX BLOCK OF DELRIDGE WAY SW,F,07/17/2010 11:35:00 PM,F1,10700.2000,-122.361297668,47.536041399
15867,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246658,2010246658,460,TRAFFIC (MOVING) VIOLATION,100XX BLOCK OF STONE AVE N,N,07/17/2010 11:36:00 PM,N3,1300.1013,-122.341968795,47.702329328
15876,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246474,2010246474,460,TRAFFIC (MOVING) VIOLATION,5XX BLOCK OF TEMPLE PL,G,07/17/2010 09:22:00 PM,G3,8800.2004,-122.296785477,47.607358241
15883,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246514,2010246514,460,TRAFFIC (MOVING) VIOLATION,4XX BLOCK OF JOHN ST,D,07/17/2010 09:27:00 PM,D1,7200.1026,-122.348234845,47.619741635
15886,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246645,2010246645,460,TRAFFIC (MOVING) VIOLATION,123XX BLOCK OF 11TH AVE NE,L,07/17/2010 11:23:00 PM,L2,600.6001,-122.316145035,47.718530839
15890,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246650,2010246650,460,TRAFFIC (MOVING) VIOLATION,14XX BLOCK OF S SPOKANE ST,R,07/17/2010 11:29:00 PM,R2,10000.4023,-122.314292129,47.571625204
15894,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246541,2010246541,460,TRAFFIC (MOVING) VIOLATION,13XX BLOCK OF S SHELTON ST,R,07/17/2010 09:54:00 PM,R2,10400.7003,-122.314770791,47.557903359
15897,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246528,2010246528,460,TRAFFIC (MOVING) VIOLATION,23XX BLOCK OF HARBOR AVE SW,W,07/17/2010 09:58:00 PM,W1,9900.4006,-122.37352054,47.582498272
15899,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246560,2010246560,460,TRAFFIC (MOVING) VIOLATION,6XX BLOCK OF DENNY WAY,D,07/17/2010 10:13:00 PM,D1,7200.2004,-122.344383851,47.618558149
15900,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246572,2010246572,460,TRAFFIC (MOVING) VIOLATION,16XX BLOCK OF S CHARLES ST,G,07/17/2010 10:17:00 PM,G2,9400.2006,-122.310981162,47.594138993
15920,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246337,2010246337,450,DRIVING WHILE UNDER INFLUENCE (DUI),107XX BLOCK OF 1ST AVE NE,N,07/17/2010 08:44:00 PM,N3,1200.4002,-122.328613097,47.707720604
15923,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246464,2010246464,460,TRAFFIC (MOVING) VIOLATION,23XX BLOCK OF E SPRING ST,G,07/17/2010 08:48:00 PM,G1,8800.5004,-122.302088663,47.611585266
15933,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246594,2010246594,460,TRAFFIC (MOVING) VIOLATION,16XX BLOCK OF E LYNN ST,C,07/17/2010 10:40:00 PM,C3,6200.5022,-122.309873956,47.639558556
15939,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246612,2010246612,460,TRAFFIC (MOVING) VIOLATION,113XX BLOCK OF 35TH AVE NE,L,07/17/2010 10:47:00 PM,L2,800.2008,-122.290678031,47.711069928
15940,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246669,2010246669,460,TRAFFIC (MOVING) VIOLATION,11XX BLOCK OF MADISON ST,D,07/17/2010 11:57:00 PM,D3,8300.1005,-122.324583879,47.609570173
15944,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246481,2010246481,460,TRAFFIC (MOVING) VIOLATION,70XX BLOCK OF 15TH AVE NW,B,07/17/2010 09:02:00 PM,B3,3000.3007,-122.376771796,47.680455156
15945,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246603,2010246603,460,TRAFFIC (MOVING) VIOLATION,27XX BLOCK OF S MASSACHUSETTS ST,R,07/17/2010 10:55:00 PM,R1,9500.6028,-122.297524504,47.588308013
15949,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246710,2010246710,460,TRAFFIC (MOVING) VIOLATION,12XX BLOCK OF E ALDER ST,E,07/18/2010 12:07:00 AM,E3,8600.3000,-122.316421958,47.60419061
15952,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246618,2010246618,460,TRAFFIC (MOVING) VIOLATION,19XX BLOCK OF E MADISON ST,G,07/17/2010 11:04:00 PM,G1,7900.2002,-122.306772803,47.616998039
15955,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246480,2010246480,460,TRAFFIC (MOVING) VIOLATION,15XX BLOCK OF E PINE ST,G,07/17/2010 09:11:00 PM,G1,7900.4003,-122.31211405,47.615282356
15958,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246629,2010246629,460,TRAFFIC (MOVING) VIOLATION,143XX BLOCK OF LAKE CITY WAY NE,L,07/17/2010 11:06:00 PM,L1,100.2001,-122.2924031,47.732847868
15964,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246619,2010246619,430,ACCIDENT INVESTIGATION,85XX BLOCK OF RAINIER AVE S,S,07/18/2010 01:24:00 AM,S2,11800.4000,-122.269984281,47.5270432
15970,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,10000246808,2010246808,430,ACCIDENT INVESTIGATION,55XX BLOCK OF S NORFOLK ST,S,07/18/2010 01:37:00 AM,S3,11900.6006,-122.26314865,47.513316217
15975,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246749,2010246749,460,TRAFFIC (MOVING) VIOLATION,23XX BLOCK OF NE PACIFIC ST,U,07/18/2010 01:48:00 AM,U2,5302.2000,-122.30527974,47.649352329
16005,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10000246864,2010246864,460,TRAFFIC (MOVING) VIOLATION,33XX BLOCK OF NE 125TH ST,L,07/18/2010 02:13:00 AM,L1,100.3008,-122.291756912,47.719258988
